threshold,accuracy,precision,recall,f1
0.05,0.7454718779790277,0.6637055837563451,0.9961904761904762,0.7966488956587967
0.1,0.8188751191611058,0.7369165487977369,0.9923809523809524,0.8457792207792207
0.15,0.8427073403241182,0.7647058823529411,0.9904761904761905,0.8630705394190871
0.2,0.8693994280266921,0.7993827160493827,0.9866666666666667,0.8832054560954817
0.25,0.8970448045757865,0.8368336025848142,0.9866666666666667,0.9055944055944056
0.3,0.9046711153479504,0.8535773710482529,0.9771428571428571,0.911190053285968
0.35,0.9122974261201144,0.8700854700854701,0.9695238095238096,0.9171171171171173
0.4,0.9208770257387988,0.8850174216027874,0.9676190476190476,0.9244767970882619
0.45,0.9265967588179218,0.8985765124555161,0.9619047619047619,0.9291628334866605
0.5,0.9294566253574833,0.9048473967684022,0.96,0.9316081330868762
0.55,0.9304099142040038,0.9124087591240876,0.9523809523809523,0.9319664492078286
0.6,0.9323164918970448,0.9219330855018587,0.9447619047619048,0.9332079021636877
0.65,0.9294566253574833,0.9278937381404174,0.9314285714285714,0.9296577946768061
0.7,0.9342230695900858,0.9401544401544402,0.9276190476190476,0.9338446788111218
0.75,0.9275500476644424,0.9517102615694165,0.900952380952381,0.9256360078277887
0.8,0.9208770257387988,0.9585062240663901,0.88,0.9175769612711023
0.85,0.9103908484270734,0.9634408602150538,0.8533333333333334,0.9050505050505051
0.9,0.886558627264061,0.9787735849056604,0.7904761904761904,0.8746048472075869
0.95,0.8322211630123928,0.988795518207283,0.6723809523809524,0.8004535147392291
